Tabulka 1: Deskriptivni statistiky analyzovanych dat 
===================================================== 
                   PX      Brent       Gold     Silver        HSE 
      prum    1155.42      87.42    1148.51      20.89   20491.28 
     modus    1030.20      69.07     944.50      17.32   19002.26 
      medi    1158.65      83.50    1097.75      17.66   21161.00 
      maxi    1808.60     143.60    1898.99      46.67   27615.85 
      mini     628.50      34.08     710.30       8.95   11015.84 
     stdev     237.22      25.01     284.14       8.94    3333.12 
      skew       0.19      -0.03       0.72       1.00      -0.85 
      kurt       2.78       2.15       2.54       2.81       3.11 
      nobs     998.00     998.00     998.00     998.00     998.00 
